subj,pm_cost,blockType
s01,0.1872409674202984,Maintain
s02,0.07297253895693401,Maintain
s03,0.17188924619375778,Maintain
s04,0.10171893053241898,Maintain
s05,0.16140621299787816,Maintain
s06,-0.03216296563587184,Maintain
s07,0.11024049497562172,Maintain
s08,0.09068666974033579,Maintain
s09,0.10325015279721472,Maintain
s10,0.174293587060238,Maintain
s11,0.07442978326728689,Maintain
s12,0.14534414306123777,Maintain
s13,0.13480468220288733,Maintain
s14,0.09360969055665902,Maintain
s15,0.04827203336595909,Maintain
s16,0.19151555544672427,Maintain
s17,0.09726811325818119,Maintain
s18,,Maintain
s19,0.03688723688567985,Maintain
s20,0.12350393123616432,Maintain
s21,0.11253848047298298,Maintain
s01,0.16241499050967467,Monitor
s02,0.22343666012039476,Monitor
s03,0.16157243578415903,Monitor
s04,0.1186581737980742,Monitor
s05,0.24306576803299873,Monitor
s06,-0.0605773169738939,Monitor
s07,0.1253372050525997,Monitor
s08,0.0332982545126127,Monitor
s09,0.14285251791420528,Monitor
s10,0.10503833066895307,Monitor
s11,0.14422201859734707,Monitor
s12,0.1974959614804549,Monitor
s13,0.2007669956733209,Monitor
s14,0.16114642078586983,Monitor
s15,0.16631269970301898,Monitor
s16,0.1770452740458569,Monitor
s17,0.10691088547626415,Monitor
s18,,Monitor
s19,0.13156968136782354,Monitor
s20,0.14716854304657834,Monitor
s21,0.16684330888649335,Monitor
s01,0.32943194812584753,MnM
s02,0.43808226058196365,MnM
s03,0.31288709598535913,MnM
s04,0.2546086657908049,MnM
s05,0.3294470151188684,MnM
s06,0.10334937194812799,MnM
s07,0.24870434637925098,MnM
s08,0.1737951158436586,MnM
s09,0.30660942574126393,MnM
s10,0.1668625371903264,MnM
s11,0.27666952805713796,MnM
s12,0.05286337469135938,MnM
s13,0.3358780218406445,MnM
s14,0.29387767249860786,MnM
s15,0.443517922390666,MnM
s16,0.5385542318109154,MnM
s17,0.37018718994736033,MnM
s18,,MnM
s19,0.2116355499969751,MnM
s20,0.29870317577532723,MnM
s21,0.3161259253937714,MnM
